"Total_custo_trabalhadores","Effort_total_trabalhadores","Trabalhadores_max_suport_dep","Total_custo_encomendas","Effort_total_encomendas","Sales_realizadas.1","Sales_realizadas.2","Sales_realizadas.3","Sales_realizadas.4","Sales_realizadas_USD.1","Sales_realizadas_USD.2","Sales_realizadas_USD.3","Sales_realizadas_USD.4","Total_rev","Stock_val.1","Stock_val.2","Stock_val.3","Stock_val.4","Stock_val_USD.1","Stock_val_USD.2","Stock_val_USD.3","Stock_val_USD.4","Total_custo_stock","Total_custo","Effort_mes"
1092250,145,126000,7685260,11,20666,118676,63600,123490,165328,1186760,763200,1975840,10405392,0,0,4676,11933,0,0,28056,95464,415291,9192801,156
1092250,145,294500,7685260,11,44344,0,62893,11933,354752,0,754716,190928,10405392,30075,0,1551,0,90225,0,9306,0,415291,9192801,156
1092250,145,245000,7685260,11,30075,17196,62255,0,240600,171960,747060,0,10405392,0,0,32040,0,0,0,192240,0,415291,9192801,156
1092250,145,244000,7685260,11,33776,132156,32040,117375,270208,1321560,384480,1878000,10405392,0,0,0,0,0,0,0,0,415291,9192801,156
