"Solucao","Valor_Solucao"
2,2940868
7,63
0,2940868
0,63
2,2940868
12,63
0,2940868
0,63
1,2940868
2,63
5,2940868
16,63
20242,2940868
2493,63
43566,2940868
12256,63
101507,2940868
130879,63
128884,2940868
14731,63
48785,2940868
28856,63
24446,2940868
29874,63
119812,2940868
146696,63
120390,2940868
52979,63
2,2940868
7,63
0,2940868
0,63
2,2940868
12,63
0,2940868
0,63
1,2940868
2,63
5,2940868
16,63
20242,2940868
2493,63
43566,2940868
12256,63
101507,2940868
130879,63
128884,2940868
14731,63
48785,2940868
28856,63
24446,2940868
29874,63
119812,2940868
146696,63
120390,2940868
52979,63
